"_real,_time","_totl,_time",missn_time,"timer,_time","_zulu,_time","local,_time","hobbs,_time","_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","_Mach,ratio","__VVI,__fpm","Gload,norml","Gload,axial","Gload,_side","alpha,__deg",_beta__deg,"hpath,_true","vpath,__deg","_slip,__deg","pitch,__deg","_roll,__deg","hding,_true","hding,__mag","mavar,__deg","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","_gear,ftagl","terrn,ftMSL","p-alt,ftMSL","__lat,orign","__lon,orign","thro1,engin"
85.6161,1498.92554,9.57628,0,11.21631,16.71631,3.80403,155.75821,155.32565,200.091,200.07959,179.24335,230.26062,230.24748,0.32104,208.87874,1.00356,0.06702,-0.00131,3.54331,-0.10557,175.04375,0.63747,-0.07466,4.18131,0.31495,174.95764,174.54057,-0.41706,174.98026,26.50233,82.62681,16331.95312,16031.64941,296.93546,16331.93848,26.5,83,0.11765
85.70724,1499.01672,9.66743,0,11.21634,16.71634,3.80406,155.7478,155.31645,200.08028,200.06871,179.23137,230.24829,230.23497,0.32102,210.46829,1.00341,0.06715,-0.00131,3.54321,-0.10558,175.04584,0.64119,-0.07465,4.18492,0.31291,174.95959,174.54254,-0.41705,174.98077,26.50225,82.62682,16332.2959,16031.51953,297.40805,16332.28223,26.5,83,0.11765
85.83453,1499.14392,9.79471,0,11.21637,16.71637,3.8041,155.73346,155.30371,200.06546,200.05368,179.21487,230.23123,230.21767,0.321,212.64038,1.00321,0.06733,-0.00131,3.54307,-0.10558,175.04872,0.64628,-0.07465,4.18987,0.31004,174.9623,174.54526,-0.41703,174.98148,26.50213,82.62683,16332.77832,16031.3418,298.06802,16332.76367,26.5,83,0.11765
85.94364,1499.25305,9.90382,0,11.2164,16.7164,3.80413,155.72134,155.29015,200.04938,200.03769,179.20093,230.21272,230.19926,0.32097,214.46623,1.00538,0.06425,0.01882,3.53974,-0.13883,175.05887,0.6513,-0.04503,4.19201,0.44174,174.94731,174.53029,-0.41702,174.99477,26.50203,82.62684,16333.19434,16031.19336,298.63379,16333.18066,26.5,83,0.11765
86.09225,1499.38928,10.03999,0,11.21644,16.71644,3.80416,155.7061,155.25317,200.00346,199.99416,179.18338,230.15988,230.14917,0.3209,216.71622,1.00823,0.04964,0.06488,3.50858,-0.43032,175.10869,0.65891,0.13281,4.17756,1.50229,174.77042,174.35342,-0.417,175.09821,26.50191,82.62685,16333.71973,16031.01172,299.33981,16333.70508,26.5,83,0.11765
86.22576,1499.55005,10.20079,0,11.21649,16.71649,3.80421,155.68607,155.1862,199.9192,199.91083,179.16032,230.06293,230.05328,0.32076,219.34038,0.97726,0.04011,0.03126,3.41639,-1.25332,175.19228,0.65092,0.3693,4.13932,3.60343,174.15594,173.73897,-0.41697,175.36188,26.50176,82.62686,16334.34082,16030.79883,300.17331,16334.32715,26.5,83,0.11765
86.33688,1499.68701,10.33778,0,11.21652,16.71652,3.80425,155.66278,155.1201,199.83578,199.8286,179.13353,229.96692,229.95865,0.32063,221.21236,0.93011,0.03221,0.00091,3.33067,-2.19828,175.26019,0.62322,0.43419,4.12668,4.81227,173.34879,172.93184,-0.41695,175.61372,26.50163,82.62688,16334.85449,16030.60352,300.88306,16334.83984,26.5,83,0.11765
86.46912,1499.84973,10.50051,0,11.21657,16.71657,3.80429,155.61566,155.03442,199.72725,199.72276,179.07932,229.84201,229.83685,0.32046,222.12579,0.94009,0.03446,-0.06532,3.30255,-3.44206,175.31409,0.56462,0.32661,4.14353,4.78629,172.15926,171.74232,-0.41693,175.7627,26.50148,82.62689,16335.41699,16030.32324,301.72583,16335.40234,26.5,83,0.11765
86.5477,1499.95532,10.60612,0,11.2166,16.7166,3.80432,155.56485,154.99184,199.67339,199.67409,179.02084,229.78003,229.78084,0.32037,221.4756,0.94351,0.04937,-0.13517,3.39652,-4.04407,175.28923,0.53389,-0.01032,4.15513,3.24651,171.44371,171.02679,-0.41691,175.57535,26.50138,82.6269,16335.75488,16030.11328,302.27258,16335.74023,26.5,83,0.11765
86.62457,1500.03772,10.6885,0,11.21662,16.71662,3.80434,155.51218,154.97089,199.64719,199.64569,178.96022,229.74989,229.74817,0.32033,220.27054,0.97211,0.06914,-0.20062,3.57256,-4.21169,175.22237,0.52091,-0.33422,4.15565,0.83243,171.06282,170.64592,-0.4169,175.16376,26.50131,82.62691,16336.00879,16029.94238,302.69913,16335.99414,26.5,83,0.11765
86.67571,1500.10706,10.75776,0,11.21664,16.71664,3.80436,155.4604,154.95834,199.63191,199.62514,178.90065,229.73232,229.72452,0.32031,218.87447,1.02502,0.08096,-0.21465,3.75874,-4.09613,175.13995,0.52368,-0.59605,4.14498,-1.91401,170.92046,170.50357,-0.41689,174.62231,26.50124,82.62691,16336.21973,16029.79492,303.05777,16336.20605,26.5,83,0.11765
86.82951,1500.29175,10.94248,0,11.21669,16.71669,3.80441,155.30424,154.92091,199.58565,199.57852,178.72093,229.67906,229.67087,0.32023,214.38707,1.11322,0.07765,-0.1842,4.05013,-2.60999,174.81522,0.57911,-1.25227,4.08527,-10.53845,171.50876,171.09189,-0.41687,172.49619,26.50107,82.62693,16336.81543,16029.43262,304.01465,16336.80176,26.5,83,0.11765
86.92142,1500.4071,11.05789,0,11.21672,16.71672,3.80445,155.21867,154.87407,199.52663,199.52007,178.62247,229.61116,229.60359,0.32014,212.19337,1.09628,0.05789,-0.12055,3.87254,-1.02987,174.55753,0.60698,-1.62642,4.06898,-15.37769,172.53807,172.12122,-0.41685,170.92613,26.50097,82.62694,16337.2207,16029.48828,304.36349,16337.20703,26.5,83,0.11765
87.04711,1500.56299,11.21373,0,11.21677,16.71677,3.80449,155.14023,154.79916,199.43192,199.42633,178.5322,229.50215,229.49573,0.31999,210.53334,0.93438,0.03516,-0.01153,3.25758,1.47813,174.22993,0.56779,-1.88073,4.13209,-19.60047,174.53044,174.11362,-0.41683,169.09085,26.50082,82.62695,16337.76562,16030.70117,303.69705,16337.75195,26.5,83,0.11765
87.14075,1500.67896,11.32964,0,11.2168,16.7168,3.80452,155.10342,154.75023,199.37003,199.36794,178.48984,229.43094,229.42853,0.31989,209.242,0.82205,0.02576,0.07257,2.86364,3.28718,174.05811,0.45621,-1.70989,4.27725,-20.17107,176.1571,175.7403,-0.41681,168.19963,26.50072,82.62697,16338.11133,16031.54395,303.19916,16338.09766,26.5,83,0.11765
87.21817,1500.76343,11.41412,0,11.21682,16.71682,3.80455,155.07567,154.71609,199.32657,199.33473,178.4579,229.38094,229.39032,0.31982,207.24675,0.78705,0.02701,0.12415,2.75076,4.4626,173.97688,0.35798,-1.36215,4.42639,-19.24557,177.28413,176.86734,-0.4168,167.83138,26.50064,82.62698,16338.30762,16032.10254,302.83572,16338.29297,26.5,83,0.11765
87.28291,1500.84216,11.49286,0,11.21684,16.71684,3.80457,155.04112,154.68652,199.28908,199.29019,178.41814,229.33778,229.33907,0.31976,204.19243,0.78597,0.03738,0.18304,2.81272,5.38576,173.93503,0.26933,-0.99976,4.57206,-17.4881,178.22717,177.81039,-0.41679,167.70222,26.50057,82.62698,16338.44824,16032.58398,302.49664,16338.43457,26.5,83,0.11765
87.41041,1500.99451,11.6453,0,11.21689,16.71689,3.80461,154.92285,154.65465,199.24863,199.24892,178.28204,229.29123,229.29156,0.31969,193.77502,0.93215,0.08745,0.33032,3.50885,6.2231,173.97357,0.17264,-0.33669,4.78229,-10.74703,179.43375,179.01698,-0.41676,168.00214,26.50043,82.627,16338.62793,16033.41992,301.84048,16338.61426,26.5,83,0.11765
87.53403,1501.14062,11.79132,0,11.21693,16.71693,3.80465,154.74652,154.63351,199.22194,199.22203,178.07912,229.26053,229.26062,0.31965,179.71663,1.1599,0.10944,0.29431,4.4145,5.33352,174.13976,0.24298,0.2525,4.73115,-0.78484,179.41241,178.99567,-0.41674,169.03964,26.50029,82.62701,16338.7959,16034.21484,301.21332,16338.78125,26.5,83,0.11765
87.66135,1501.29309,11.94382,0,11.21697,16.71697,3.80469,154.54913,154.60957,199.19205,199.18852,177.85197,229.22612,229.22206,0.3196,165.47893,1.21899,0.10547,0.16045,4.55861,3.22844,174.39359,0.40783,0.82278,4.441,8.49931,178.25989,177.84317,-0.41672,170.82314,26.50015,82.62704,16339.09277,16035.16309,300.56137,16339.07812,26.5,83,0.11765
87.78181,1501.4436,12.09431,0,11.21701,16.71701,3.80473,154.41032,154.59702,199.1772,199.16989,177.69223,229.20905,229.20062,0.31958,156.39169,1.06944,0.08175,0.0381,3.90999,0.94734,174.6544,0.50539,1.16764,4.08676,13.51241,176.48862,176.07191,-0.4167,172.90437,26.50001,82.62704,16339.51074,16036.22168,299.92133,16339.49707,26.5,83,0.11765
87.88545,1501.54724,12.19794,0,11.21704,16.71704,3.80476,154.36444,154.59657,199.17766,199.16968,177.63943,229.20956,229.20038,0.31958,153.41406,0.94933,0.06819,-0.03997,3.37425,-0.44305,174.78868,0.49751,1.10127,3.87521,14.51007,175.2047,174.78801,-0.41668,174.23312,26.49992,82.62706,16339.81836,16036.96777,299.48221,16339.80469,26.5,83,0.11765
